SectorGroup,Sector,SectorANZSIC,FuelGroup,Fuel,TechnologyGroup,Technology,EndUseGroup,EndUse,Transport,EnergyValue (Terajoules - TJ),PeriodEndDate
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,3152.251801,31/12/2024
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,649.964855,31/12/2024
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Electronics and Lights,Irrigation,Electronics and Lighting,Irrigation,Non-Transport,1695.159058,31/12/2024
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,56.446245,31/12/2024
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,1290.037877,31/12/2024
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,1199.487983,31/12/2024
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,1286.509885,31/12/2024
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,1464.669006,31/12/2024
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Sea Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,1557.209042,31/12/2024
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Sea Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,110.824413,31/12/2024
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,6.275324,31/12/2024
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,18.820991,31/12/2024
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,125.461657,31/12/2024
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,6.275324,31/12/2024
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,1941.309015,31/12/2024
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Diesel,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,224.042552,31/12/2024
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,0.757484,31/12/2024
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,26.43765,31/12/2024
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Petrol,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,4.591102,31/12/2024
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,3.971228,31/12/2024
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,34.514643,31/12/2024
"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,179.377719,31/12/2024
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,1397.190006,31/12/2024
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,286.112379,31/12/2024
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,1101.648916,31/12/2024
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,16.583358,31/12/2024
"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,15.793674,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Diesel,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"High Temperature Heat (>300 C), Process Requirements",Non-Transport,261.673586,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Diesel,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,261.691463,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,7637.918292,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Diesel,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,211.074563,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,LPG,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,120.003802,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,1605.148259,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Petrol,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,11.892121,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,415.981923,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,241.925416,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,405.656183,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,418.720615,31/12/2024
"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,1005.062887,31/12/2024
"Agriculture, Forestry and Fishing",NULL,A,Renewables,Geothermal,NULL,NULL,NULL,NULL,Non-Transport,445,31/12/2024
"Agriculture, Forestry and Fishing",NULL,A,Fossil Fuels,Diesel,NULL,NULL,NULL,NULL,Non-Transport,125.122971,31/12/2024
"Agriculture, Forestry and Fishing",NULL,A,Fossil Fuels,Natural Gas,NULL,NULL,NULL,NULL,Non-Transport,72.425493,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,0.973925,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Coal,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,0.131249,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,0.381069,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,28.705527,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,5.051713,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,LPG,Heat/Cooling Devices,Cooking Ovens,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,304.080131,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,LPG,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,41.331933,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,LPG,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,15.608803,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Cooking Ovens,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,377.434528,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,764.985821,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,419.560776,31/12/2024
Commercial,Accommodation and Food Services,H,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,420.241467,31/12/2024
Commercial,Accommodation and Food Services,H,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,54.765278,31/12/2024
Commercial,Accommodation and Food Services,H,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,217.31867,31/12/2024
Commercial,Accommodation and Food Services,H,Electricity,Electricity,Heat/Cooling Devices,Cooking Elements,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,428.145762,31/12/2024
Commercial,Accommodation and Food Services,H,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Heating),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,155.404466,31/12/2024
Commercial,Accommodation and Food Services,H,Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,1209.762945,31/12/2024
Commercial,Accommodation and Food Services,H,Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,1043.383194,31/12/2024
Commercial,Accommodation and Food Services,H,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,1619.009662,31/12/2024
Commercial,Accommodation and Food Services,H,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Cooling),Heating/Cooling,Space Cooling,Non-Transport,227.284169,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,5.311286,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,0.201028,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,28.710714,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,61.536005,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,910.151661,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,276.045447,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,52.202902,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,NULL,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Petrol,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,NULL,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,366.438054,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,884.688607,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Heating),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,209.160272,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,261.388735,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,11.004072,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Cooling),Heating/Cooling,Space Cooling,Non-Transport,364.413452,31/12/2024
Commercial,"Arts, Recreational and Other Services","R, S",Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,399.136646,31/12/2024
Commercial,"Building Cleaning, Pest Control and Other Support Services",N73,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,3.01161,31/12/2024
Commercial,"Building Cleaning, Pest Control and Other Support Services",N73,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,2.73391,31/12/2024
Commercial,"Building Cleaning, Pest Control and Other Support Services",N73,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,27.067389,31/12/2024
Commercial,"Building Cleaning, Pest Control and Other Support Services",N73,Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,27.067389,31/12/2024
Commercial,Data Centers,J592,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,573.811981,31/12/2024
Commercial,Data Centers,J592,Electricity,Electricity,Electronics and Lights,LED,Electronics and Lighting,Lighting,Non-Transport,13.826795,31/12/2024
Commercial,Data Centers,J592,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Cooling),Heating/Cooling,Space Cooling,Non-Transport,103.70096,31/12/2024
Commercial,Defence,O76,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,16.900873,31/12/2024
Commercial,Defence,O76,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,7.108399,31/12/2024
Commercial,Defence,O76,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,111.609914,31/12/2024
Commercial,Defence,O76,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,89.379987,31/12/2024
Commercial,Defence,O76,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,9.306219,31/12/2024
Commercial,Defence,O76,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,14.36336,31/12/2024
Commercial,Defence,O76,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,72.466027,31/12/2024
Commercial,Defence,O76,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Heating),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,83.915689,31/12/2024
Commercial,Defence,O76,Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,190.604684,31/12/2024
Commercial,Defence,O76,Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,90.02516,31/12/2024
Commercial,Defence,O76,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Cooling),Heating/Cooling,Space Cooling,Non-Transport,49.099142,31/12/2024
Commercial,Defence,O76,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,14.36336,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,80.844808,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,1.300545,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,16.337947,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,2.800244,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,146.350931,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,116.092061,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,8.763174,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,0.87166,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Petrol,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,0.87166,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,35.126714,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,286.000949,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,1034.488106,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,38.968478,31/12/2024
Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,1.927943,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,38.926414,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,12.998221,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,16.337947,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,2.800244,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,127.682831,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,34.488547,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,26.157449,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,0.87166,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Petrol,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,0.87166,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,72.500872,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,291.592512,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Heating),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,19.625428,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,271.981584,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,81.284632,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Cooling),Heating/Cooling,Space Cooling,Non-Transport,123.056287,31/12/2024
Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,10.582339,31/12/2024
Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,5.459739,31/12/2024
Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,0.087504,31/12/2024
Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,2436.807084,31/12/2024
Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,1244.652289,31/12/2024
