Row,SectorGroup,Sector,SectorANZSIC,FuelGroup,Fuel,TechnologyGroup,Technology,EndUseGroup,EndUse,Transport,TJ,PeriodEndDate,Period
654,Commercial,Information Media and Telecommunications,J,Fossil Fuels,Natural Gas,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,25.020696,2022-12-31,2022
655,Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,20.325362,2022-12-31,2022
656,Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,569.148094,2022-12-31,2022
657,Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,40.653882,2022-12-31,2022
658,Industrial,Wood Product Manufacturing,C14,Renewables,Wood,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,21676.78058,2022-12-31,2022
659,Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Renewables,Wood,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,7871.768153,2022-12-31,2022
660,Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,3.052587,2022-12-31,2022
661,Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,3.052587,2022-12-31,2022
662,Commercial,"Education and Training: Pre-School, Primary and Secondary",P80,Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,17.810239,2022-12-31,2022
663,Commercial,Education and Training: Tertiary Education and Other Education,P81-P82,Fossil Fuels,Diesel,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,17.810239,2022-12-31,2022
664,"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",A04,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Sea Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,2158.763569,2022-12-31,2022
665,Industrial,Dairy Product Manufacturing,C113,Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,1196.305047,2022-12-31,2022
666,Industrial,Dairy Product Manufacturing,C113,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,1070.462916,2022-12-31,2022
667,Industrial,Dairy Product Manufacturing,C113,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,198.248945,2022-12-31,2022
668,Industrial,Dairy Product Manufacturing,C113,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,281.43742,2022-12-31,2022
669,Industrial,Dairy Product Manufacturing,C113,Electricity,Electricity,Heat/Cooling Devices,HVAC,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,250.596612,2022-12-31,2022
670,Industrial,Dairy Product Manufacturing,C113,Electricity,Electricity,Electronics and Lights,Air Compressors,Electronics and Lighting,Compressed Air,Non-Transport,254.464629,2022-12-31,2022
671,Industrial,Dairy Product Manufacturing,C113,Electricity,Electricity,Electronics and Lights,Fan Systems,Electronics and Lighting,Fans,Non-Transport,1344.527561,2022-12-31,2022
672,Industrial,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",C22-C24,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,491.698944,2022-12-31,2022
673,Industrial,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",C22-C24,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,10.575371,2022-12-31,2022
674,Industrial,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",C22-C24,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,41.861958,2022-12-31,2022
675,Industrial,"Fabricated Metal Product, Transport Equipment, Machinery and Equipment Manufacturing",C22-C24,Electricity,Electricity,Heat/Cooling Devices,Electric Furnace,Heating/Cooling,"High Temperature Heat (>300 C), Process Requirements",Non-Transport,101.521611,2022-12-31,2022
676,Industrial,Furniture and Other Manufacturing,C25,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,776.292648,2022-12-31,2022
677,Industrial,Furniture and Other Manufacturing,C25,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,18.629916,2022-12-31,2022
678,Industrial,Furniture and Other Manufacturing,C25,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,76.251064,2022-12-31,2022
679,Industrial,Furniture and Other Manufacturing,C25,Electricity,Electricity,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"High Temperature Heat (>300 C), Process Requirements",Non-Transport,49.656689,2022-12-31,2022
680,Commercial,"Transport, Postal and Warehousing (Commercial - Non-Transport)","I52,I53",Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,1178.595914,2022-12-31,2022
681,Commercial,"Transport, Postal and Warehousing (Commercial - Non-Transport)","I52,I53",Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,586.722305,2022-12-31,2022
682,Commercial,"Transport, Postal and Warehousing (Commercial - Non-Transport)","I52,I53",Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,1178.595914,2022-12-31,2022
683,"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,867.854399,2022-12-31,2022
684,"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Fossil Fuels,Petrol,Stationary Motors,Stationary Engine,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,6.488883,2022-12-31,2022
685,"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Fossil Fuels,Petrol,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,388.944269,2022-12-31,2022
686,Industrial,Wood Product Manufacturing,C14,Fossil Fuels,Fuel Oil,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,23.062742,2022-12-31,2022
687,Industrial,Dairy Product Manufacturing,C113,Fossil Fuels,LPG,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,398.084,2022-12-31,2022
688,Industrial,"Pulp, Paper and Converted Paper Product Manufacturing",C15,Renewables,Geothermal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,3633.348674,2022-12-31,2022
689,Industrial,"Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)","C114-C119, C12",Fossil Fuels,Coal,Heat/Cooling Devices,Industrial Ovens,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,74.523776,2022-12-31,2022
690,Industrial,"Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)","C114-C119, C12",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,263.854211,2022-12-31,2022
691,Industrial,"Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)","C114-C119, C12",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,77.16719,2022-12-31,2022
692,Industrial,"Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)","C114-C119, C12",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,170.97108,2022-12-31,2022
693,Commercial,Wholesale and Retail Trade - Non Food,"F33, F34, F35, F37, F38, G39, G40, G42, G43",Fossil Fuels,Coal,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,103.750529,2022-12-31,2022
694,Commercial,Wholesale Trade - Food,F36,Fossil Fuels,Coal,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,0.758133,2022-12-31,2022
695,Commercial,Retail Trade - Food,G41,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,3.899559,2022-12-31,2022
696,Commercial,Retail Trade - Food,G41,Fossil Fuels,Coal,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,4.638827,2022-12-31,2022
697,Commercial,Accommodation and Food Services,H,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,0.462373,2022-12-31,2022
698,Commercial,Accommodation and Food Services,H,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,1.181719,2022-12-31,2022
699,Commercial,Accommodation and Food Services,H,Fossil Fuels,Coal,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,0.159252,2022-12-31,2022
700,Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,0.099788,2022-12-31,2022
701,Commercial,"Financing, Insurance, Real Estate and Business Services","K, L, M, N72",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,6.226235,2022-12-31,2022
702,Commercial,Public Administration and Safety,"O751, O752, O754, O755, O77",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,0.031497,2022-12-31,2022
703,Commercial,Public Administration and Safety,"O751, O752, O754, O755, O77",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,1.347874,2022-12-31,2022
704,Commercial,Local Government Administration,O753,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,11.607067,2022-12-31,2022
705,Commercial,Defence,O76,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,8.067458,2022-12-31,2022
706,Commercial,Defence,O76,Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,19.181124,2022-12-31,2022
707,Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,0.220099,2022-12-31,2022
708,Commercial,"Arts, Recreational and Other Services","R, S",Fossil Fuels,Coal,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,5.815163,2022-12-31,2022
709,"Agriculture, Forestry and Fishing",Forestry and Logging,A03,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,0.406357,2022-12-31,2022
710,Industrial,"Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)","C114-C119, C12",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Industrial Ovens,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,386.242133,2022-12-31,2022
711,Industrial,"Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)","C114-C119, C12",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,1990.076377,2022-12-31,2022
712,Industrial,"Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)","C114-C119, C12",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,188.589798,2022-12-31,2022
713,Industrial,"Food and Beverage Product Manufacturing (excluding Dairy, Meat, Seafood)","C114-C119, C12",Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,229.208852,2022-12-31,2022
714,Industrial,Wood Product Manufacturing,C14,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,249.766436,2022-12-31,2022
715,Industrial,Wood Product Manufacturing,C14,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,125.610684,2022-12-31,2022
716,Industrial,Non-Metallic Mineral Product Manufacturing,C20,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"High Temperature Heat (>300 C), Process Requirements",Non-Transport,1744.139588,2022-12-31,2022
717,Industrial,Non-Metallic Mineral Product Manufacturing,C20,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Furnace/Kiln,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,30.80091,2022-12-31,2022
718,Industrial,Non-Metallic Mineral Product Manufacturing,C20,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,154.917422,2022-12-31,2022
719,Industrial,Non-Metallic Mineral Product Manufacturing,C20,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,361.479619,2022-12-31,2022
720,Commercial,Accommodation and Food Services,H,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,397.272922,2022-12-31,2022
721,Commercial,Accommodation and Food Services,H,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Cooking Ovens,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Non-Transport,356.805621,2022-12-31,2022
722,Commercial,Accommodation and Food Services,H,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,723.175073,2022-12-31,2022
723,Commercial,Accommodation and Food Services,H,Fossil Fuels,Natural Gas,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Non-Transport,396.629437,2022-12-31,2022
724,Industrial,Construction,E,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,6639.257576,2022-12-31,2022
725,Commercial,Information Media and Telecommunications,J,Fossil Fuels,Diesel,Mobile Motors,Internal Combustion Engine (Land Transport),Mobile Motive Power,"Motive Power, Mobile",Non-Transport,,2022-12-31,2022
726,"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,12.645975,2022-12-31,2022
727,"Agriculture, Forestry and Fishing",Indoor Cropping,"A0111, A0114, A0122",Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,13.278273,2022-12-31,2022
728,"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,341.91624,2022-12-31,2022
729,"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,820.707916,2022-12-31,2022
730,"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,339.679895,2022-12-31,2022
731,"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,197.549931,2022-12-31,2022
732,"Agriculture, Forestry and Fishing",Non-Dairy Agriculture,"A0112-A0113, A0115, A0121, A0123, A013-A015, A017-A019, A02, A05",Electricity,Electricity,Heat/Cooling Devices,Resistance Heater,Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,331.248169,2022-12-31,2022
733,"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Heat/Cooling Devices,Hot Water Cylinder,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Non-Transport,1155.273372,2022-12-31,2022
734,"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Heat/Cooling Devices,Refrigeration Systems,Heating/Cooling,Refrigeration,Non-Transport,1074.182822,2022-12-31,2022
735,"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Stationary Motors,Electric Motor,Stationary Motive Power,"Motive Power, Stationary",Non-Transport,1152.113934,2022-12-31,2022
736,"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Stationary Motors,"Pump Systems (for Fluids, etc.)",Stationary Motive Power,Pumping,Non-Transport,1311.661565,2022-12-31,2022
737,"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Electronics and Lights,Irrigation,Electronics and Lighting,Irrigation,Non-Transport,1518.073349,2022-12-31,2022
738,"Agriculture, Forestry and Fishing",Dairy Cattle Farming,A016,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,50.549557,2022-12-31,2022
739,Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Refiners,Electronics and Lighting,Refiners,Non-Transport,412.196314,2022-12-31,2022
740,Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Air Compressors,Electronics and Lighting,Compressed Air,Non-Transport,208.614686,2022-12-31,2022
741,Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Fan Systems,Electronics and Lighting,Fans,Non-Transport,1850.520403,2022-12-31,2022
742,Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Electronics,Electronics and Lighting,Electronics and Other Electrical Uses,Non-Transport,14.03034,2022-12-31,2022
743,Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Heat/Cooling Devices,Boiler Systems,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Non-Transport,18.971077,2022-12-31,2022
744,Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Heat/Cooling Devices,Burner (Direct Heat),Heating/Cooling,"High Temperature Heat (>300 C), Process Requirements",Non-Transport,4.07936,2022-12-31,2022
745,Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Electronics and Lights,Lights,Electronics and Lighting,Lighting,Non-Transport,220.799552,2022-12-31,2022
746,Industrial,Wood Product Manufacturing,C14,Electricity,Electricity,Heat/Cooling Devices,Heat Pump (for Heating),Heating/Cooling,"Low Temperature Heat (<100 C), Process Requirements",Non-Transport,4.553801,2022-12-31,2022
